step,episode_id,time_s,rx,ry,rvx,rvy
1,0,0.200,0.904,-0.012,0.739,-0.306
2,0,0.400,1.064,-0.012,0.800,0.000
3,0,0.600,1.224,-0.012,0.800,0.000
4,0,0.800,1.384,-0.012,0.800,0.000
5,0,1.000,1.544,-0.012,0.800,0.000
6,0,1.200,1.704,-0.012,0.800,0.000
7,0,1.400,1.864,-0.012,0.800,0.000
8,0,1.600,2.024,-0.012,0.800,0.000
9,0,1.800,2.138,-0.012,0.571,0.000
10,0,2.000,2.251,-0.126,0.566,-0.566
11,0,2.200,2.364,-0.239,0.566,-0.566
12,0,2.400,2.524,-0.239,0.800,0.000
13,0,2.600,2.672,-0.300,0.739,-0.306
14,0,2.800,2.820,-0.361,0.739,-0.306
15,0,3.000,2.968,-0.422,0.739,-0.306
16,0,3.200,3.128,-0.422,0.800,0.000
