step,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,hx,hy,dist,angle_deg
1,1740386103.247,0.742,-1.077,-0.306,-0.739,0,0.774,1.358,2.435,89.235
1,1740386103.247,0.742,-1.077,-0.306,-0.739,1,-0.762,-1.432,1.545,-166.702
1,1740386103.247,0.742,-1.077,-0.306,-0.739,2,-0.443,0.333,1.842,130.029
1,1740386103.247,0.742,-1.077,-0.306,-0.739,3,1.104,1.288,2.393,81.281
1,1740386103.247,0.742,-1.077,-0.306,-0.739,4,1.845,0.782,2.161,59.308
1,1740386103.247,0.742,-1.077,-0.306,-0.739,5,-0.988,-1.951,1.939,-153.186
1,1740386103.247,0.742,-1.077,-0.306,-0.739,6,-1.464,-0.072,2.424,155.518
1,1740386103.247,0.742,-1.077,-0.306,-0.739,7,-0.373,-0.254,1.386,143.555
1,1740386103.247,0.742,-1.077,-0.306,-0.739,8,-0.165,0.944,2.215,114.169
1,1740386103.247,0.742,-1.077,-0.306,-0.739,9,-1.619,-1.992,2.532,-158.821
1,1740386103.247,0.742,-1.077,-0.306,-0.739,10,-1.141,0.492,2.451,140.196
1,1740386103.247,0.742,-1.077,-0.306,-0.739,11,1.366,-1.872,1.011,-51.874
1,1740386103.247,0.742,-1.077,-0.306,-0.739,12,1.905,-0.478,1.308,27.231
1,1740386103.247,0.742,-1.077,-0.306,-0.739,13,-0.103,0.447,1.742,119.012
1,1740386103.247,0.742,-1.077,-0.306,-0.739,14,-1.021,-0.000,2.066,148.588
2,1740386103.443,0.629,-1.190,-0.566,-0.566,0,0.774,1.358,2.552,86.728
2,1740386103.443,0.629,-1.190,-0.566,-0.566,1,-0.762,-1.432,1.412,-170.116
2,1740386103.443,0.629,-1.190,-0.566,-0.566,2,-0.443,0.333,1.862,125.119
2,1740386103.443,0.629,-1.190,-0.566,-0.566,3,1.104,1.288,2.524,79.131
2,1740386103.443,0.629,-1.190,-0.566,-0.566,4,1.845,0.782,2.317,58.330
2,1740386103.443,0.629,-1.190,-0.566,-0.566,5,-0.988,-1.951,1.787,-154.787
2,1740386103.443,0.629,-1.190,-0.566,-0.566,6,-1.464,-0.072,2.373,151.897
2,1740386103.443,0.629,-1.190,-0.566,-0.566,7,-0.373,-0.254,1.371,136.929
2,1740386103.443,0.629,-1.190,-0.566,-0.566,8,-0.165,0.944,2.277,110.403
2,1740386103.443,0.629,-1.190,-0.566,-0.566,9,-1.619,-1.992,2.386,-160.373
2,1740386103.443,0.629,-1.190,-0.566,-0.566,10,-1.141,0.492,2.441,136.454
2,1740386103.443,0.629,-1.190,-0.566,-0.566,11,1.366,-1.872,1.005,-42.776
2,1740386103.443,0.629,-1.190,-0.566,-0.566,12,1.905,-0.478,1.461,29.146
2,1740386103.443,0.629,-1.190,-0.566,-0.566,13,-0.103,0.447,1.793,114.090
2,1740386103.443,0.629,-1.190,-0.566,-0.566,14,-1.021,-0.000,2.034,144.203
3,1740386103.643,0.515,-1.303,-0.566,-0.566,0,0.774,1.358,2.673,84.445
3,1740386103.643,0.515,-1.303,-0.566,-0.566,1,-0.762,-1.432,1.284,-174.226
3,1740386103.643,0.515,-1.303,-0.566,-0.566,2,-0.443,0.333,1.896,120.351
3,1740386103.643,0.515,-1.303,-0.566,-0.566,3,1.106,1.307,2.676,77.257
3,1740386103.643,0.515,-1.303,-0.566,-0.566,4,1.845,0.782,2.473,57.475
3,1740386103.643,0.515,-1.303,-0.566,-0.566,5,-0.988,-1.951,1.638,-156.682
3,1740386103.643,0.515,-1.303,-0.566,-0.566,6,-1.464,-0.072,2.331,148.132
3,1740386103.643,0.515,-1.303,-0.566,-0.566,7,-0.373,-0.254,1.375,130.251
3,1740386103.643,0.515,-1.303,-0.566,-0.566,8,-0.165,0.944,2.348,106.851
3,1740386103.643,0.515,-1.303,-0.566,-0.566,9,-1.619,-1.992,2.243,-162.124
3,1740386103.643,0.515,-1.303,-0.566,-0.566,10,-1.141,0.492,2.443,132.699
3,1740386103.643,0.515,-1.303,-0.566,-0.566,11,1.366,-1.872,1.023,-33.787
3,1740386103.643,0.515,-1.303,-0.566,-0.566,12,1.905,-0.478,1.616,30.696
3,1740386103.643,0.515,-1.303,-0.566,-0.566,13,-0.103,0.447,1.856,109.471
3,1740386103.643,0.515,-1.303,-0.566,-0.566,14,-1.021,-0.000,2.015,139.707
4,1740386103.840,0.454,-1.451,-0.306,-0.739,0,0.774,1.358,2.827,83.500
4,1740386103.840,0.454,-1.451,-0.306,-0.739,1,-0.762,-1.432,1.217,179.122
4,1740386103.840,0.454,-1.451,-0.306,-0.739,2,-0.443,0.333,1.997,116.690
4,1740386103.840,0.454,-1.451,-0.306,-0.739,3,1.107,1.326,2.852,76.770
4,1740386103.840,0.454,-1.451,-0.306,-0.739,4,1.845,0.782,2.630,58.082
4,1740386103.840,0.454,-1.451,-0.306,-0.739,5,-0.909,-1.868,1.426,-163.004
4,1740386103.840,0.454,-1.451,-0.306,-0.739,6,-1.464,-0.072,2.363,144.301
4,1740386103.840,0.454,-1.451,-0.306,-0.739,7,-0.327,-0.171,1.499,121.420
4,1740386103.840,0.454,-1.451,-0.306,-0.739,8,-0.165,0.944,2.474,104.501
4,1740386103.840,0.454,-1.451,-0.306,-0.739,9,-1.619,-1.992,2.143,-165.385
4,1740386103.840,0.454,-1.451,-0.306,-0.739,10,-1.141,0.492,2.514,129.387
4,1740386103.840,0.454,-1.451,-0.306,-0.739,11,1.361,-1.837,0.986,-23.077
4,1740386103.840,0.454,-1.451,-0.306,-0.739,12,1.905,-0.478,1.746,33.843
4,1740386103.840,0.454,-1.451,-0.306,-0.739,13,-0.103,0.447,1.978,106.370
