step,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg
1,0.266,1.300,1.861,0.566,0.566,0,-1.383,0.289,3.109,-149.629
1,0.266,1.300,1.861,0.566,0.566,1,-1.662,-0.169,3.591,-145.581
1,0.266,1.300,1.861,0.566,0.566,2,-0.165,1.435,1.526,-163.770
1,0.266,1.300,1.861,0.566,0.566,3,-0.839,-1.865,4.296,-119.853
1,0.266,1.300,1.861,0.566,0.566,4,0.002,-1.695,3.785,-110.049
1,0.266,1.300,1.861,0.566,0.566,5,0.636,-0.015,1.990,-109.505
1,0.266,1.300,1.861,0.566,0.566,6,-0.955,0.389,2.693,-146.866
1,0.266,1.300,1.861,0.566,0.566,7,0.085,-0.035,2.252,-122.651
1,0.266,1.300,1.861,0.566,0.566,8,0.689,0.884,1.152,-122.038
1,0.266,1.300,1.861,0.566,0.566,9,0.943,1.293,0.671,-122.141
1,0.266,1.300,1.861,0.566,0.566,10,-0.567,-0.702,3.170,-126.071
1,0.266,1.300,1.861,0.566,0.566,11,0.837,1.066,0.919,-120.203
1,0.266,1.300,1.861,0.566,0.566,12,-1.469,-0.067,3.374,-145.145
1,0.266,1.300,1.861,0.566,0.566,13,0.036,0.644,1.755,-136.087
1,0.266,1.300,1.861,0.566,0.566,14,0.953,-1.479,3.358,-95.924
2,0.474,1.448,1.922,0.739,0.306,0,-1.383,0.289,3.268,-150.013
2,0.474,1.448,1.922,0.739,0.306,1,-1.662,-0.169,3.748,-146.087
2,0.474,1.448,1.922,0.739,0.306,2,-0.165,1.435,1.685,-163.176
2,0.474,1.448,1.922,0.739,0.306,3,-0.839,-1.865,4.424,-121.119
2,0.474,1.448,1.922,0.739,0.306,4,0.002,-1.695,3.895,-111.783
2,0.474,1.448,1.922,0.739,0.306,5,0.636,-0.015,2.100,-112.750
2,0.474,1.448,1.922,0.739,0.306,6,-0.955,0.389,2.851,-147.460
2,0.474,1.448,1.922,0.739,0.306,7,0.085,-0.035,2.385,-124.848
2,0.474,1.448,1.922,0.739,0.306,8,0.754,0.817,1.305,-122.120
2,0.474,1.448,1.922,0.739,0.306,9,0.943,1.293,0.806,-128.733
2,0.474,1.448,1.922,0.739,0.306,10,-0.552,-0.710,3.306,-127.231
2,0.474,1.448,1.922,0.739,0.306,11,0.837,1.066,1.051,-125.496
2,0.474,1.448,1.922,0.739,0.306,12,-1.469,-0.067,3.531,-145.701
2,0.474,1.448,1.922,0.739,0.306,13,0.036,0.644,1.905,-137.844
2,0.474,1.448,1.922,0.739,0.306,14,0.953,-1.479,3.437,-98.270
3,0.672,1.596,1.983,0.739,0.306,0,-1.383,0.289,3.426,-150.362
3,0.672,1.596,1.983,0.739,0.306,1,-1.662,-0.169,3.905,-146.551
