type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,0,-0.245,-1.418,2.113,-176.622,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,1,-0.821,-0.337,2.851,160.406,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,2,-1.302,-1.367,3.168,-178.675,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,3,-1.140,-1.102,3.011,176.353,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,4,-0.408,-1.908,2.355,-164.869,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,5,1.280,1.219,2.580,103.102,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,6,-0.620,1.706,3.895,129.636,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,7,1.059,1.350,2.763,106.954,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,8,1.367,-0.531,0.911,123.126,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,9,-0.625,-0.003,2.805,152.601,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,10,-0.689,0.131,2.925,150.844,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,11,-1.038,-0.690,2.965,168.247,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,12,1.741,-0.897,0.416,107.327,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,13,0.611,-2.006,1.443,-150.397,,,,
step,1,0,0.200,1.865,-1.294,-0.000,-0.800,14,0.525,-0.972,1.378,166.490,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,0,-0.245,-1.418,2.171,179.385,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,1,-0.816,-0.334,2.958,158.016,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,2,-1.302,-1.367,3.229,178.677,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,3,-1.140,-1.102,3.085,173.684,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,4,-0.408,-1.908,2.381,-168.690,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,5,1.280,1.219,2.738,103.649,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,6,-0.620,1.706,4.048,128.969,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,7,1.059,1.350,2.923,107.257,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,8,1.367,-0.531,1.068,121.543,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,9,-0.625,-0.003,2.929,150.585,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,10,-0.669,0.142,3.040,148.604,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,11,-1.060,-0.694,3.078,165.945,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,12,1.741,-0.897,0.575,108.765,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,13,0.632,-2.025,1.420,-155.758,,,,
step,2,0,0.400,1.926,-1.442,0.306,-0.739,14,0.525,-0.972,1.478,161.466,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,0,-0.245,-1.418,2.179,175.174,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,1,-0.811,-0.331,3.018,155.107,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,2,-1.302,-1.367,3.237,175.844,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,3,-1.140,-1.102,3.107,170.750,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,4,-0.408,-1.908,2.355,-172.511,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,5,1.270,1.169,2.847,103.322,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,6,-0.620,1.706,4.174,127.588,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,7,1.059,1.350,3.076,106.373,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,8,1.369,-0.529,1.209,117.443,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,9,-0.625,-0.003,3.011,147.932,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,10,-0.649,0.154,3.116,145.724,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,11,-1.081,-0.698,3.140,163.283,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,12,1.741,-0.897,0.728,104.712,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,13,0.652,-2.043,1.348,-160.897,,,,
step,3,0,0.600,1.926,-1.602,-0.000,-0.800,14,0.525,-0.972,1.536,155.799,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,0,-0.245,-1.418,2.135,171.080,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,1,-0.807,-0.328,3.026,151.985,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,2,-1.302,-1.367,3.190,173.115,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,3,-1.140,-1.102,3.074,167.846,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,4,-0.408,-1.908,2.279,-175.997,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,5,1.260,1.119,2.932,101.906,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,6,-0.676,1.614,4.216,127.069,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,7,1.059,1.350,3.202,104.576,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,8,1.371,-0.527,1.318,111.998,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,9,-0.625,-0.003,3.042,144.959,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,10,-0.655,0.038,3.090,144.659,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,11,-1.103,-0.703,3.147,160.572,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,12,1.741,-0.897,0.861,98.262,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,13,0.673,-2.061,1.232,-165.349,,,,
step,4,0,0.800,1.865,-1.749,-0.306,-0.739,14,0.524,-0.971,1.550,149.868,,,,
