type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy
step,1,0,0.200,1.907,-0.656,0.800,0.000
step,2,0,0.401,2.067,-0.656,0.800,0.000
step,3,0,0.600,2.227,-0.656,0.800,0.000
step,4,0,0.800,2.387,-0.656,0.800,0.000
step,5,0,1.000,2.547,-0.656,0.800,0.000
step,6,0,1.200,2.707,-0.656,0.800,0.000
step,7,0,1.400,2.867,-0.656,0.800,0.000
step,8,0,1.601,3.027,-0.656,0.800,0.000
step,9,0,1.801,3.187,-0.656,0.800,0.000
step,10,0,2.000,3.347,-0.656,0.800,0.000
step,11,0,2.200,3.507,-0.656,0.800,0.000
step,12,0,2.400,3.667,-0.656,0.800,0.000
step,13,0,2.600,3.827,-0.656,0.800,0.000
step,14,0,2.800,3.987,-0.656,0.800,0.000
step,15,0,3.000,4.147,-0.656,0.800,0.000
step,16,0,3.200,4.307,-0.656,0.800,0.000
step,17,0,3.400,4.467,-0.656,0.800,0.000
step,18,0,3.600,4.627,-0.656,0.800,0.000
step,19,0,3.801,4.787,-0.656,0.800,0.000
step,20,0,4.001,4.947,-0.656,0.800,0.000
step,21,0,4.200,5.107,-0.656,0.800,0.000
step,22,0,4.400,5.267,-0.656,0.800,0.000
step,23,0,4.600,5.427,-0.656,0.800,0.000
step,24,0,4.801,5.587,-0.656,0.800,0.000
step,25,0,5.000,5.747,-0.656,0.800,0.000
step,26,0,5.201,5.907,-0.656,0.800,0.000
step,27,0,5.401,6.067,-0.656,0.800,0.000
step,28,0,5.600,6.227,-0.656,0.800,0.000
step,29,0,5.801,6.387,-0.656,0.800,0.000
step,30,0,6.000,6.547,-0.656,0.800,0.000
step,31,0,6.200,6.707,-0.656,0.800,0.000
step,32,0,6.401,6.867,-0.656,0.800,0.000
step,33,0,6.600,7.027,-0.656,0.800,0.000
step,34,0,6.801,7.187,-0.656,0.800,0.000
step,35,0,7.001,7.347,-0.656,0.800,0.000
step,36,0,7.200,7.507,-0.656,0.800,0.000
step,37,0,7.400,7.667,-0.656,0.800,0.000
step,38,0,7.600,7.827,-0.656,0.800,0.000
step,39,0,7.800,7.987,-0.656,0.800,0.000
step,40,0,8.000,8.147,-0.656,0.800,0.000
step,41,0,8.201,8.307,-0.656,0.800,0.000
step,42,0,8.400,8.467,-0.656,0.800,0.000
step,43,0,8.600,8.627,-0.656,0.800,0.000
step,44,0,8.800,8.787,-0.656,0.800,0.000
step,45,0,9.000,8.947,-0.656,0.800,0.000
step,46,0,9.201,9.107,-0.656,0.800,0.000
step,47,0,9.401,9.267,-0.656,0.800,0.000
step,48,0,9.601,9.427,-0.656,0.800,0.000
step,49,0,9.800,9.587,-0.656,0.800,0.000
step,50,0,10.000,9.747,-0.656,0.800,0.000
step,51,0,10.200,9.907,-0.656,0.800,0.000
step,52,0,10.400,10.067,-0.656,0.800,0.000
step,53,0,10.600,10.227,-0.656,0.800,0.000
step,54,0,10.800,10.387,-0.656,0.800,0.000
step,55,0,11.001,10.547,-0.656,0.800,0.000
step,56,0,11.200,10.707,-0.656,0.800,0.000
step,57,0,11.400,10.867,-0.656,0.800,0.000
step,58,0,11.601,11.027,-0.656,0.800,0.000
step,59,0,11.801,11.187,-0.656,0.800,0.000
step,60,0,12.001,11.347,-0.656,0.800,0.000
