type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.201,-0.494,1.129,0.739,-0.306,0,-1.484,-0.468,1.879,-121.784,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,1,1.374,-0.244,2.319,-36.305,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,2,0.347,0.863,0.883,-17.530,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,3,1.703,-1.900,3.742,-54.031,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,4,1.112,1.203,1.608,2.642,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,5,-0.323,1.436,0.352,60.798,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,6,-1.733,0.574,1.358,-155.870,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,7,-0.909,-1.082,2.249,-100.623,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,8,-1.172,0.827,0.741,-155.984,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,9,-1.424,-0.413,1.800,-121.097,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,10,1.325,0.848,1.841,-8.756,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,11,-1.336,-1.877,3.121,-105.651,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,12,1.803,-1.348,3.378,-47.151,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,13,-1.086,-0.540,1.771,-109.521,,,,
step,1,0,0.201,-0.494,1.129,0.739,-0.306,14,-1.294,-0.294,1.632,-119.326,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,0,-1.484,-0.468,1.849,-126.617,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,1,1.374,-0.244,2.161,-35.664,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,2,0.347,0.863,0.744,-11.839,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,3,1.703,-1.900,3.584,-54.433,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,4,1.112,1.203,1.505,7.148,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,5,-0.323,1.436,0.424,82.074,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,6,-1.733,0.574,1.422,-161.903,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,7,-0.909,-1.082,2.163,-104.123,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,8,-1.164,0.821,0.807,-166.030,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,9,-1.424,-0.413,1.769,-126.135,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,10,1.325,0.848,1.715,-5.593,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,11,-1.336,-1.877,3.046,-108.275,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,12,1.803,-1.348,3.218,-47.257,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,13,-1.086,-0.540,1.708,-114.372,,,,
step,2,0,0.401,-0.381,1.015,0.566,-0.566,14,-1.294,-0.294,1.596,-124.866,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,0,-1.484,-0.468,1.832,-131.573,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,1,1.374,-0.244,2.003,-34.921,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,2,0.347,0.863,0.617,-3.679,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,3,1.703,-1.900,3.427,-54.871,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,4,1.112,1.203,1.412,12.281,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,5,-0.323,1.436,0.536,95.848,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,6,-1.733,0.574,1.502,-167.355,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,7,-0.909,-1.082,2.086,-107.898,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,8,-1.157,0.815,0.893,-174.360,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,9,-1.424,-0.413,1.751,-131.315,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,10,1.325,0.848,1.594,-1.940,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,11,-1.336,-1.877,2.977,-111.026,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,12,1.825,-1.261,3.011,-45.948,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,13,-1.086,-0.540,1.658,-119.553,,,,
step,3,0,0.600,-0.268,0.902,0.566,-0.566,14,-1.294,-0.294,1.575,-130.604,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,0,-1.484,-0.468,1.830,-136.580,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,1,1.374,-0.244,1.846,-34.052,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,2,0.347,0.863,0.508,8.334,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,3,1.703,-1.900,3.269,-55.352,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,4,1.152,1.098,1.343,13.292,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,5,-0.272,1.378,0.600,101.245,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,6,-1.733,0.577,1.592,-172.324,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,7,-0.909,-1.082,2.018,-111.946,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,8,-1.149,0.808,0.994,178.890,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,9,-1.391,-0.347,1.679,-137.410,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,10,1.325,0.848,1.481,2.289,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,11,-1.336,-1.877,2.916,-113.900,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,12,1.847,-1.175,2.805,-44.445,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,13,-1.086,-0.540,1.623,-125.005,,,,
step,4,0,0.801,-0.155,0.789,0.566,-0.566,14,-1.294,-0.294,1.571,-136.431,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,0,-1.484,-0.468,1.779,-141.400,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,1,1.374,-0.244,1.714,-31.103,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,2,0.347,0.863,0.493,26.658,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,3,1.703,-1.900,3.113,-54.732,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,4,1.192,0.993,1.333,15.302,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,5,-0.221,1.319,0.690,100.643,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,6,-1.732,0.580,1.639,-177.839,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,7,-0.909,-1.082,1.907,-115.314,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,8,-1.142,0.802,1.060,171.267,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,9,-1.397,-0.324,1.622,-143.475,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,10,1.325,0.848,1.434,8.300,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,11,-1.336,-1.877,2.808,-116.264,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,12,1.869,-1.088,2.616,-41.375,,,,
step,5,0,1.000,-0.094,0.641,0.306,-0.739,13,-1.086,-0.540,1.543,-130.022,,,,
